,,,,,,
30,Rozhorčenie,"Obvinili ma z niečoho, čo som neurobil/a alebo s čím nemám nič spoločné.",Stala sa mi krivda. Zradili ma alebo ma oklamali. Neprajem si určité zaobchádzanie. ,Konanie niektorých ľudí je v rozpore s mojimi hodnotami alebo presvedčeniami.,"Postarať sa o seba, chrániť svoje hranice a udržať si sebaúctu",
,,,,,,
,"Emócia, ktorú chcem cítiť","Čo potrebujem urobiť, aby som zažíval/a túto emóciu?",,,Zmysel emócie,"TIP: Daj si záväzok, čo z toho vieš urobiť už teraz alebo čo najskôr"
31,Blaženosť,"Viac oddychovať, ísť do prírody, spojiť sa so svojím vnútrom.","Dokončiť niečo, čo si začal/a alebo si splniť úlohu či povinnosť.","Venovať čas svojim záľubám alebo veciam, na ktorých ti záleží.",Ukazuje mi zdroje môjho naplnenia,
32,Ambícia,Stanoviť si dosiahnuteľný a reálny cieľ.,"Zlepšiť si svoju zručnosť, talent alebo postavenie v spoločnosti.","Stanoviť si novú pracovnú, študijnú alebo osobnú výzvu.",Angažovať sa vo svete a vyhľadávať nové možnosti,
33,Empatia, Vypočuť si niekoho a venovať im pozornosť.,Vyjadriť porozumenie.,Ponúknuť niekomu pomoc či podporu.,"Pomáha mi porozumieť, aké emócie prežívajú druhí ľudia",
34,Radosť,Dopriať si hravý zážitok alebo oslavu.,"Venovať sa svojím obľúbeným činnostiam, športom alebo záľubám.","Venovať viac času sebe, blízkym ľuďom alebo pre seba či blízkych urobiť niečo dobré.","Cítiť dobrotu, pôžitok",
35,Hrdosť,"Vytvoriť si zoznam úspechov, ktoré sa ti už podarilo dosiahnuť. Oceniť sa.",Odhodlať sa čeliť výzvam a uvedomiť si svoje kvality a schopnosti.,Oceniť niekoho blízkeho za jeho úspech.,"Schopnosť uznať výdobytok alebo zisk toho, o čo som sa usiloval/a.",
36,Pokora,"Učiť sa niečo nové,  prijať, že s tým ešte nemám veľa skúseností.",Zamyslieť sa: Čo si na sebe vážiš a čo ešte potrebuješ prijať?,Uznať svoje kvality a vlastnosti a nič nepredstierať.,Zosúladiť sa s realitou svojich schopností a sily,
37,Šťastie,"Spomenúť si, čo všetko sa ti už v živote podarilo.","Byť spokojný/á so životom tak, ako je. Tešiť sa z prítomnej chvíle.","Nájsť alebo uvedomiť si, čo ťa robí šťastným/šťastnou a dopriať si to.","Vedieť, čo je podľa mňa v živote dobré alebo príjemné",
38,Odpustenie,"Uzatvoriť minulosť, aj keď ti spôsobila bolesť. Neprenášať dôsledky minulého konania do budúcnosti.","Prijať to, čo si v minulosti spôsobil/a.","Prijať to, čo ti niekto iný spôsobil v minulosti a ublížilo ti to. ","Vyhlásiť minulosť za uzavretú, keď sa budeme stýkať aj v budúcnosti",
39,Sebaistota,"Prezentovať svoju zručnosť v oblasti, ktorá ťa zaujíma a ktorú ovládaš.","Urob niečo, o čom si presvedčený/á, že bude úspešné.",Realizovať svoj plán bez obáv.,"Pomáha mi interagovať so svetom, s druhými ľuďmi, so sebou",
40,Zvedavosť,Experimentovať a objavovať.,Vyhľadávať alebo učiť sa niečo nové.,Objavovať o niekom alebo o sebe niečo nové.,"Porozumieť svojim zážitkom, aby som sa niečo naučil/a",
41,Statočnosť,"Využiť svoje zdroje a silné stránky, vďaka ktorým môžeš čeliť prekážkam.",Dôkladne sa na niečo pripraviť alebo si vytvoriť plán a držať sa ho. ,"Zrealizovať niečo, pred čím máš rešpekt.","Umožňuje mi hýbať sa dopredu, hoci mám pochybnosti, alebo je to pre mňa výzva",
42,Vzrušenie,"Robiť niečo, čo ti dáva energiu.","Robiť alebo si naplánovať niečo nezvyčajné, čo chceš uskutočniť.","Začať nový projekt alebo urobiť niečo nové, čo si ešte nerobil/a.","Vedieť, čo mi v živote dáva energiu",
43,Vďačnosť,"Uvedomiť si, za čo som dnes vďačný/á.",Vyjadriť vďaku ľuďom vôkol alebo niekoho obdarovať.,Vytvoriť si denník vďačnosti.,Vidieť celý život ako dar,
44,Dôvera,"Spolupracovať s niekým, na koho sa môžeš spoľahnúť.","Zopakovať si skúsenosť, ktorá sa ti páčila a veríš, že sa ti bude páčiť opäť.","Dôverovať svojej ceste, systému, komunite.","Schopnosť interagovať so svetom, s ostatnými ľuďmi alebo so sebou",
45,Ľahkosť,"Zbaviť sa toho, čo ťa zaťažuje.","Venovať sa relaxácii, meditácii alebo starostlivosti o svoje telo.","Venovať sa aktivite, ktorá ti prináša radosť.","Hovorí mi, na ktoré aktivity mám schopnosti a robím ich bez veľkej námahy",
46,Hojnosť,"Uvedomiť si, v ktorých oblastiach života sa ti dostáva hojnosti.",Dopriať si niečo.,"Podeliť sa s inými o niečo, čoho máš nadbytok.","Chápať, aký hojný život môže byť",
47,Odvaha,"Urobiť niečo, v čom sa necítiš komfortne. ","Konať aktívne v situácii, v ktorej cítiš strach.","Naplánovať si niečo, čo si doteraz ešte neurobil/a.",Dovoľuje mi konať v prítomnosti strachu,
48,Nádej,"Uveriť, že situácia, v ktorej sa nachádzaš, sa dobre skončí.",Všímať si vo svete to dobré.,"Nájsť podporu u niekoho, kto verí v pozitívnu budúcnosť.","Umožňuje mi vidieť, v čo verím ohľadom toho, ako bude vyzerať budúcnosť",
49,Harmónia,Naplniť svoje potreby.,Dostať sa do súladu so sebou a svojím okolím. Napojiť sa na seba a ukotvi sa vo svojom strede.,"Venovať sa činnostiam, ktoré ťa harmonizujú.","Umožňuje mi byť v rovnováhe bez ohľadu na to, čo sa deje okolo. ",
50,Vytrvalosť,"Uvedomiť si, akú cestu už máš za sebou a pokračovať v nej.",Naplánovať si dlhodobý cieľ.,"Nájsť si vzor alebo niekoho, kto ti pomôže vydržať.",Posúvať sa dopredu napriek prekážkam,
51,Rešpekt,Uvedomiť si  akú máš o sebe mienku a za čo si zaslúžiš úctu.,"Uvedomiť si, čo považuješ za hodné rešpektu.",Premyslieť si o kom máš vysokú mienku.,"Vedieť, ktoré veci alebo ktorí ľudia sú podľa mňa legitímni a hodnotní",
52,Eufória,"Uvedomiť si, aký vrcholový zážitok v tebe vyvoláva výnimočnú pohodu.",Dopriať si výnimočný zážitok.,"Začleniť do svojho života rituál alebo zvyk, ktorý v tebe vyvoláva výnimočnú pohodu a radosť.",Pomáha mi pochopiť silu prežívania pozitívneho zážitku.,
53,Akceptácia,"Pozrieť sa na svoje okolnosti tak, ako sú a neklásť voči nim odpor.","Povedať nahlas: ""Už je to raz tak,"" a otvoriť sa novému smerovaniu.","Uznať svoj život, taký aký je.","Schopnosť vyrovnať sa s faktami okolo mňa, odpočívať v mieri a zostať v pokoji",
54,Láska,Vyjadrovať niekomu svoju lásku.,"Všímať si, kde sa cítiš byť milovaný/á.","Obklop sa spoločnosťou ľudí, ktorých máš rád/a.",Udržiavať spojenie bez ohľadu na okolnosti,
55,Dôstojnosť,"Uznať svoje hodnoty a to, že si zaslúžiš svoje miesto na svete.","Prehodnotiť svoje hranice a nenechať druhých ľudí, aby ich prekročili.",Rešpektovať hranice iných.,Umožňuje mi stanoviť si a chrániť svoje hranice,
56,Starostlivosť,"Uvedomiť si, na čom ti záleží a na čo vynakladáš svoju energiu a čas.","Začleň do svojho života niečo, o čo sa môžeš starať.",Uvedomiť si svoje potreby a postarať sa o ne.,"Umožňuje mi využiť energiu na podporu ostatných. Ukazuje mi, s kým a čím som v živote spojený/á",
57,Optimizmus,"Uveriť, že aj keď sa ti môžu stať zlé veci väčšinou sa ti stanú tie dobré.",Začni svoj deň s pozitívnymi afirmáciami.,"Uvedomiť si, v akých situáciách v minulosti ti optimizmus pomohol.","Žiť tak, že sa stále teším na dobré veci, ktoré ku mne prichádzajú",
58,Súcit,"Byť s druhým človekom prítomný v jeho bolesti, ale nepreberať jeho emócie na seba.",Uvedomiť si rozdiel medzi ľútosťou a súcitom.,"Všímať si, s kým súcitíš alebo kedy cítiš súcit. Súcítiš aj so sebou?","Umožňuje mi byť spojený/á s druhými a rozumieť ich emóciám bez toho, aby som ich bral/a ako svoje",
59,Nadšenie,Zadefinovať si svoju víziu alebo misiu.,Vybudovať si nový zvyk.,"Zamyslieť sa, čo v tebe vyvoláva pocit nadšenia, čo ťa inšpiruje, a na čom si ochotný/á pracovať.","Umožňuje mi spojiť sa so záujmami väčšími, ako som ja a pomáha mi realizovať ich.",
60,Ašpirácia,"Definovať si jasné a dosiahnuteľné ciele, ktoré ťa budú inšpirovať a podnecovať k rastu.","Uvedomiť si možnosti, ktoré máš na svoj rast.","Skúšať veci, ktoré si predtým nerobil/a.",Rásť,
